"Zeitstempel","Welchem Geschlecht gehörst du an?","Ich würde sagen, ich interessiere mich für Politik","Ich mache mir Gedanken darüber, wie ich Probleme in meinem Umfeld lösen kann","Ich interessiere mich für Wahlen (regional; auf Bundesebene; international)","Mich interessiert die Arbeit der Bundesregierung","Mich interessieren Nachrichtenbeiträge über Politik (Befragungen, politische Krisen, (Wahl)-Analysen...)","These: ""Die Entscheidungen von Politikern haben einen großen Einfluss auf mein Leben. Ich sollte mich deshalb über politische Entscheidungen informieren und selbst politisch aktiv sein. ""(z.B. Demonstrationen, Petitionen, Gespräche mit Mitmenschen)","These: ""Ich überlasse die Beschäftigung mit politischen Problemen lieber den Politikern.""","Wenn morgen Bundestagswahl wäre, und du wählen dürftest: wie wahrscheinlich wäre es, dass du deine Stimme abgibst?","Wer ist in Deutschland berechtigt, die Bundestagsabgeordneten zu wählen?","Wer ist der ranghöchste Repräsentant der Bundesrepublik Deutschland?","Auf wie viele Jahre werden die Bundestagabgeordneten gewählt?","Kreuze die Institutionen an, die bei dem Gesetzgebungsprozess von der Initiative bis zur Gegenzeichnung beteiligt sind / sein können.","Welche von diesen Aufgaben haben die Landesregierungen?","Wie werden die Richter des Bundesverfassungsgerichts gewählt und auf welche Zeit?","Wer war von 2005 bis 2021 Bundeskanzler der BRD","Wer wählt den Bundespräsidenten?","Wer wählt den Bundestagspräsidenten?","Wer ist aktuell Bundespräsident?","Kreuze die Aufgaben an, die der Bundespräsident hat.","Kreuze die Aufgaben des Bundesverfassungsgerichts an.","Kreuze die Aufgaben des Bundeskanzlers an.","Kreuze die Aufgaben an, die der Bundestag hat.","Kreuze die Aufgaben an, die der Bundesrat hat.","Nach welchem Prinzip ist das politische System auf Bundesebene aufgebaut?","Welche der genannten Themen hast du im Sozialkundeunterricht bisher behandelt?","Für welches dieser Themen hast du dich am meisten interessiert?","Wieso hast du dich für dieses Thema am meisten interessiert?","Würdest du sagen, dass du insgesamt an bisher behandelten Themen interessiert warst?","Wenn du angegeben hast uninteressiert zu sein, woran könnte dies deiner Meinung nach liegen?","Über welche anderen Themen hättest du in Sozialkunde gerne ausführlicher gesprochen?","Bitte gib an, für welches dieser politischen Themen du dich allgemein interessierst.","Welche anderen Themen hattest du dir im Zusammenhang mit dem Sozialkundeunterricht an deiner Schule gewünscht? ","Denkst du, dass man das Interesse an Politik innerhalb der Klasse steigern könnte, wenn man auf persönliche Interessen der Schüler mehr eingehen würde?","Fühlst du dich auf deine politische Aktivität (z.B. wählen gehen) in Zukunft durch den Politikunterricht in der Schule gut vorbereitet?","Falls nein, bitte gib an, woran es liegen könnte, dass du dich unvorbereitet fühlst.","Denkst du, dass es bei deiner zukünftigen Wahlentscheidung nötig sein wird, sich über das politische System Deutschlands erneut zu informieren? (Trotz des Sozialkundeunterrichts)","Denkst du, dass der Politikunterricht an deiner Schule dein Interesse an Politik gestärkt hat?"
"2022/06/22 10:35:45 AM OEZ","Weiblich","4","3","4","3","4","5","1","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundesverfassungsgericht;Bundestag;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Der Bundestag","Der Bundestag","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Ernennt den Bundeskanzler","Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Gegenzeichnung von Gesetzen;Vorsitz der Bundesregierung","Entscheidung über Bundeshaushalt;Wahl des Bundespräsidenten;Wahl des Bundeskanzlers","Gesetzesinitiative","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Kriege und Konflikte;Globalisierung;Europäische Union;Umweltschutz als politisches Problem","Globalisierung","weil es direkten einfluss auf umweltprobleme etc hat ","Neutral","","","Politische Prozesse außerhalb Deutschlands","","Vielleicht","Nein, Ich fühle mich eher unvorbereitet","man redet nur allgemein über wahlen, aber wenn ich eine gut fundierte wahl treffen möchte, muss ich mich selber informieren und sehen welche partei/abgeordnete diese am besten vertreten","Ja, definitiv","Neutral"
"2022/06/22 10:37:13 AM OEZ","Männlich","3","4","3","3","3","3","4","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundespräsident;Bundesregierung;Bundeskanzler;Bundesversammlung;Bundestag","Sie ernennen den Präsidenten des Bundesverfassungsgerichtes","Vom Bundestag mit 50% Mehrheit auf 4 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundestag","Olaf Scholz","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Vorschlagen der Bundesminister;Fertigt Gesetze aus","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz des Bundestages;Vorsitz der Bundesregierung","Gesetzesinitative;Wahl des Bundespräsidenten","Gesetzesinitiative;Abwahl des Bundeskanzlers","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Kriege und Konflikte;Globalisierung;Europäische Union","Kriege und Konflikte","Aktuelle Themen auf der ganzen Welt","Ja, eher interessiert","","Kriege","Wahlen in Deutschland;Politische Parteien in Deutschland;Kriege und Konflikte;Das Entstehen einer Diktatur","","Eher nein","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, wahrscheinlich","Nein, eher nicht"
"2022/06/22 10:37:43 AM OEZ","Männlich","3","3","3","3","2","3","3","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundespräsident;Bundesverfassungsgericht;Bundeskanzler;Bundesversammlung;Bundestag;Bundesrat","Sie bestimmen zur Hälfte die Mitglieder des Bundestages","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Der Bundestag","Der Bundesrat","Frank-Walter Steinmeier","Vorschlagen der Bundesminister;Fertigt Gesetze aus;Löst den Bundestag auf","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Gegenzeichnung von Gesetzen;Vorsitz der Bundesregierung","Gesetzesinitative;Entscheidung über Bundeshaushalt;Wahl des Bundeskanzlers","Gesetzesinitiative;Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Kriege und Konflikte;Globalisierung;Europäische Union;Umweltschutz als politisches Problem","Kriege und Konflikte","Sehr spannendes Thema, guter Unterricht ","Neutral","Unterrichtsinhalte zu theoretisch","","Verfassung der BRD;Wahlen in Deutschland;Politische Parteien in Deutschland;Kriege und Konflikte;Das Entstehen einer Diktatur;Politische Prozesse außerhalb Deutschlands","","Vielleicht","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, wahrscheinlich","Neutral"
"2022/06/22 10:38:04 AM OEZ","Männlich","3","3","1","2","4","1","4","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundesverfassungsgericht;Bundesregierung;Bundesversammlung;Bundestag;Bundesrat","Sie bestimmen zur Hälfte die Mitglieder des Bundestages","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundesrat","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Ernennt den Bundeskanzler;Löst den Bundestag auf","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz der Bundesregierung;Ernennen der Bundesminister","Gesetzesinitative;Entscheidung über Bundeshaushalt;Wahl des Bundeskanzlers","Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Kriege und Konflikte;Globalisierung;Umweltschutz als politisches Problem","Globalisierung","Einfach so ","Ja, eher interessiert","","","Kriege und Konflikte;Das Entstehen einer Diktatur","","Ja, definitiv","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, definitiv","Ja, eher gesteigert"
"2022/06/22 10:38:06 AM OEZ","Männlich","4","3","2","4","5","4","4","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundespräsident;Bundesverfassungsgericht;Bundesregierung;Bundesversammlung;Bundestag;Bundesrat","Sie bestimmen zur Hälfte die Mitglieder des Bundestages","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundespräsident bestimmt ihn","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Ernennt den Bundeskanzler;Löst den Bundestag auf","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz der Bundesregierung;Ernennen der Bundesminister","Gesetzesinitative;Entscheidung über Bundeshaushalt;Wahl des Bundeskanzlers","Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Kriege und Konflikte;Globalisierung;Europäische Union;wahlen","Kriege und Konflikte","ist spannend zu sehen was es für konflikte gibt","Ja, eher interessiert","","ddr","Politische Parteien in Deutschland;Kriege und Konflikte;Politische Prozesse außerhalb Deutschlands","","Eher ja","Ja, Ich fühle mich sehr gut vorbereitet","","Ja, definitiv","Ja, eher gesteigert"
"2022/06/22 10:38:10 AM OEZ","Männlich","3","4","3","1","4","3","2","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundesverfassungsgericht;Bundesregierung;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Der Bundestag","Der Bundestag","Olaf Scholz","Vorschlagen der Bundesminister;Fertigt Gesetze aus","Höchstes Gericht in Deutschland;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz des Bundestages","Gesetzesinitative;Kontrolle der Regierung","Mitwirken in auswärtigen Angelegenheiten","Präsident,-Kollegial,-Kabinettsprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Kriege und Konflikte;Globalisierung;Europäische Union","Kriege und Konflikte","Kann nicht sagen warum, aber fand es sehr informativ und interessant ","Ja, sehr interessiert","","Kriege und Konflikte","Kriege und Konflikte;Politische Prozesse außerhalb Deutschlands","Kriege und Konflikte in vergangener Zeit","Ja, definitiv","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, definitiv","Ja, eher gesteigert"
"2022/06/22 10:38:26 AM OEZ","Männlich","2","3","2","4","3","2","4","4","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundeskanzler;Bundestag;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundestag","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Ernennt den Bundeskanzler;Löst den Bundestag auf","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz der Bundesregierung;Ernennen der Bundesminister","Gesetzesinitative;Kontrolle der Regierung","Gesetzesinitiative","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Kriege und Konflikte;Globalisierung;Europäische Union;Wahlen","Europäische Union","Ich wollte schon immer mal wissen, was die EU für Vorteile bringt","Nein, eher uninteressiert","Ich bin allgemein uninteressiert an Politik","","Politische Prozesse außerhalb Deutschlands","","Vielleicht","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, wahrscheinlich","Neutral"
"2022/06/22 10:39:51 AM OEZ","Weiblich","3","4","4","3","2","2","3","3","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundesregierung;Bundeskanzler;Bundesversammlung;Bundesrat","Sie ernennen den Präsidenten des Bundesverfassungsgerichtes","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Der Bundestag","Der Bundesrat","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Vorschlagen der Bundesminister","Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Gegenzeichnung von Gesetzen;Vorsitz der Bundesregierung;Ernennen der Bundesminister","Gesetzesinitative;Kontrolle der Regierung;Wahl des Bundespräsidenten","Gesetzesinitiative;Mitwirken in auswärtigen Angelegenheiten","Präsident,-Kollegial,-Kabinettsprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Kriege und Konflikte;Globalisierung;Umweltschutz als politisches Problem","Kriege und Konflikte","Es wahr spannend zu erfahren was passiert ist bzw. grade passiert.","Neutral","","Umweltschutz","Kriege und Konflikte","keine weiter","Eher ja","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, wahrscheinlich","Neutral"
"2022/06/22 10:39:55 AM OEZ","Weiblich","3","4","4","3","2","2","3","3","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundesregierung;Bundeskanzler;Bundesversammlung;Bundesrat","Sie ernennen den Präsidenten des Bundesverfassungsgerichtes","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Der Bundestag","Der Bundesrat","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Vorschlagen der Bundesminister","Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Gegenzeichnung von Gesetzen;Vorsitz der Bundesregierung;Ernennen der Bundesminister","Gesetzesinitative;Kontrolle der Regierung;Wahl des Bundespräsidenten","Gesetzesinitiative;Mitwirken in auswärtigen Angelegenheiten","Präsident,-Kollegial,-Kabinettsprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Kriege und Konflikte;Globalisierung;Umweltschutz als politisches Problem","Kriege und Konflikte","Es wahr spannend zu erfahren was passiert ist bzw. grade passiert.","Neutral","","Umweltschutz","Kriege und Konflikte","keine weiter","Eher ja","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, wahrscheinlich","Neutral"
"2022/06/22 10:40:45 AM OEZ","Weiblich","3","4","4","4","4","3","3","3","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundespräsident;Bundesverfassungsgericht;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundestag mit 50% Mehrheit auf 4 Jahre","Angela Merkel","Der Bundestag","Der Bundestag","Olaf Scholz","Vorschlagen der Bundesminister;Fertigt Gesetze aus","Höchstes Gericht in Deutschland","Vorsitz der Bundesregierung;Ernennen der Bundesminister","Gesetzesinitative;Kontrolle der Regierung;Wahl des Bundespräsidenten;Wahl des Bundeskanzlers","Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Kriege und Konflikte;Globalisierung;Europäische Union;Umweltschutz als politisches Problem","Kriege und Konflikte","Weil es in unserer Gesellschaft immer etwas aktuelles ist","Ja, eher interessiert","Unterrichtsgestaltung zu monoton","Umwelt, Kriege","Kriege und Konflikte","Keine anderen ","Eher ja","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, wahrscheinlich","Ja, eher gesteigert"
"2022/06/22 10:40:46 AM OEZ","Männlich","5","3","4","3","4","2","1","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundesregierung;Bundeskanzler;Bundestag;Bundesrat","Sie ernennen den Präsidenten des Bundesverfassungsgerichtes","Zur Hälfte vom Bundesrat und zur anderen Hälfte vom Bundestag, jeweils mit 2/3 Mehrheit, auf 12 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundestag","Olaf Scholz","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Vorschlagen der Bundesminister","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz der Bundesregierung","Gesetzesinitative;Wahl des Bundespräsidenten","Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Kriege und Konflikte;Globalisierung;Europäische Union","Kriege und Konflikte","Da es derzeit sehr aktuell ist und Konflikte seit Jahren eine große Rolle in unserem Weltweiten miteinander haben.","Ja, sehr interessiert","","persönliche Politische Meinung bilden","Politische Parteien in Deutschland;Kriege und Konflikte;Das Entstehen einer Diktatur;Politische Prozesse außerhalb Deutschlands","","Ja, definitiv","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, definitiv","Ja, eher gesteigert"
"2022/06/22 10:40:54 AM OEZ","Weiblich","4","3","4","2","4","4","1","4","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundesverfassungsgericht;Bundesregierung;Bundeskanzler;Bundesversammlung;Bundestag;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Zur Hälfte vom Bundesrat und zur anderen Hälfte vom Bundestag, jeweils mit 2/3 Mehrheit, auf 12 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundestag","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Vorschlagen der Bundesminister","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz der Bundesregierung;Ernennen der Bundesminister","Entscheidung über Bundeshaushalt;Kontrolle der Regierung","Mitwirken in auswärtigen Angelegenheiten","Präsident,-Kollegial,-Kabinettsprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Kriege und Konflikte;Globalisierung;Europäische Union","Kriege und Konflikte","Weil es aktuell und wichtig ist ","Ja, eher interessiert","","Soziale Ungerechtigkeit ","Politische Parteien in Deutschland;Kriege und Konflikte;Das Entstehen einer Diktatur","","Ja, definitiv","Nein, Ich fühle mich eher unvorbereitet","Zu kurze unverständliche Behandlung ","Ja, definitiv","Nein, eher nicht"
"2022/06/22 10:41:15 AM OEZ","Männlich","2","3","3","2","3","3","3","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundesverfassungsgericht;Bundestag","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundestag mit 50% Mehrheit auf 4 Jahre","Angela Merkel","Der Bundestag","Der Bundestag","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Ernennt den Bundeskanzler","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz der Bundesregierung;Ernennen der Bundesminister","Gesetzesinitative;Kontrolle der Regierung;Wahl des Bundespräsidenten","Mitwirken in auswärtigen Angelegenheiten;Abwahl des Bundeskanzlers","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Kriege und Konflikte;Globalisierung;Europäische Union;Umweltschutz als politisches Problem","Umweltschutz als politisches Problem","Ist aktuell und hat vieles mit meiner/unserer Zukunft zu tun","Nein, eher uninteressiert","Unterrichtsinhalte zu theoretisch;Ich bin allgemein uninteressiert an Politik;Unterrichtsgestaltung zu monoton","","Wahlen in Deutschland;Kriege und Konflikte","","Vielleicht","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, wahrscheinlich","Neutral"
"2022/06/22 10:41:19 AM OEZ","Weiblich","3","3","2","3","2","2","2","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundespräsident;Bundesverfassungsgericht;Bundesregierung;Bundesversammlung","Sie ernennen die Kabinettsmitglieder des Bundsrates","Zur Hälfte vom Bundesrat und zur anderen Hälfte vom Bundestag, jeweils mit 2/3 Mehrheit, auf 12 Jahre","Angela Merkel","Der Bundestag","Der Bundespräsident bestimmt ihn","Frank-Walter Steinmeier","Vorschlagen der Bundesminister;Ernennt den Bundeskanzler","Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz des Bundestages;Gegenzeichnung von Gesetzen","Entscheidung über Bundeshaushalt;Wahl des Bundespräsidenten","Gesetzesinitiative","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Kriege und Konflikte;Globalisierung;Europäische Union","Kriege und Konflikte","Da es im Moment viele Konflikte und Kriege gibt, von denen man täglich in den Nachrichten hört.","Ja, eher interessiert","","","Wahlen in Deutschland;Kriege und Konflikte;Politische Prozesse außerhalb Deutschlands","","Ja, definitiv","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, definitiv","Neutral"
"2022/06/22 10:42:04 AM OEZ","Männlich","5","4","5","5","5","5","4","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundesverfassungsgericht;Bundestag","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundestag mit 50% Mehrheit auf 4 Jahre","Angela Merkel","Der Bundestag","Der Bundesrat","Frank-Walter Steinmeier","Fertigt Gesetze aus","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz des Bundestages;Gegenzeichnung von Gesetzen","Gesetzesinitative","Mitwirken in auswärtigen Angelegenheiten","Präsident,-Kollegial,-Kabinettsprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Kriege und Konflikte;Globalisierung;Europäische Union;Umweltschutz als politisches Problem","Kriege und Konflikte","Weil ich mich immer über die Konflikt entstehungn  interessiere","Ja, sehr interessiert","","","Politische Parteien in Deutschland;Kriege und Konflikte;Das Entstehen einer Diktatur","","Ja, definitiv","Ja, Ich fühle mich sehr gut vorbereitet","","Ja, definitiv","Ja, definitiv"
"2022/06/22 10:43:23 AM OEZ","Weiblich","5","5","3","3","5","5","1","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundesverfassungsgericht;Bundesversammlung;Bundestag;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Zur Hälfte vom Bundesrat und zur anderen Hälfte vom Bundestag, jeweils mit 2/3 Mehrheit, auf 12 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundestag","Frank-Walter Steinmeier","Vorschlagen der Bundesminister;Fertigt Gesetze aus","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz der Bundesregierung","Gesetzesinitative;Entscheidung über Bundeshaushalt;Kontrolle der Regierung;Wahl des Bundeskanzlers","Gesetzesinitiative;Mitwirken in auswärtigen Angelegenheiten","Präsident,-Kollegial,-Kabinettsprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Kriege und Konflikte;Globalisierung;Europäische Union;Umweltschutz als politisches Problem;Wahlsystheme ","Grundgesetz der BRD","Wichtig für Alltagsleben","Ja, sehr interessiert","","Politisches System","Politische Parteien in Deutschland;Politische Prozesse außerhalb Deutschlands","Praktisches","Ja, definitiv","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, wahrscheinlich","Ja, eher gesteigert"